"A._CID","B._Lib_Con","C._MID","F1.1","F1.2","F1.3","G1.1","G1.2","G1.3","G1.4","H1.1","H1.2","I1.1","I1.2","F1.4"
3,0,"LIB070",0,0,0,0,0,0,0,0,0,2,2,1
3,0,"LIB071",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB072",0,1,0,0,0,1,0,0,0,0,0,1
3,0,"LIB074",0,0,1,0,0,0,0,0,0,0,0,1
3,0,"LIB075",0,1,0,0,0,0,0,0,0,1,0,1
3,0,"LIB076",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB077",0,0,0,0,0,0,0,0,0,2,2,1
3,0,"LIB078",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB079",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB080",0,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB081",0,1,0,0,0,0,0,0,0,2,0,1
3,0,"LIB082",0,1,0,0,0,0,0,0,0,0,0,1
3,0,"LIB083",1,1,0,0,0,0,1,0,0,2,0,1
3,0,"LIB084",0,1,0,0,0,0,0,0,0,2,2,1
3,0,"LIB085",0,0,0,0,0,0,0,0,0,3,0,1
3,0,"LIB086",0,0,1,0,0,0,0,0,0,0,4,1
3,0,"LIB087",0,1,0,0,0,0,0,0,0,3,2,1
3,0,"LIB088",1,1,0,0,0,0,0,0,0,4,0,1
3,0,"LIB092",0,0,1,0,0,1,0,0,0,0,0,1
3,0,"LIB093",0,0,0,0,0,1,0,0,0,0,4,1
3,0,"LIB094",1,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB032",0,1,0,0,0,1,1,0,0,0,0,1
3,0,"LIB095",0,1,0,0,0,0,0,0,0,2,0,1
2,0,"LIB033",0,0,1,0,0,0,0,0,0,3,0,1
3,0,"LIB096",1,1,0,0,0,0,1,0,0,2,0,1
2,0,"LIB034",1,1,0,0,0,1,0,0,0,0,2,1
2,0,"LIB035",1,1,0,0,0,0,0,0,0,3,0,1
2,0,"LIB036",1,1,0,0,0,0,0,0,0,0,0,1
2,0,"LIB037",0,0,1,0,0,0,0,0,0,4,0,1
2,0,"LIB038",0,1,1,0,0,1,0,0,0,0,0,1
2,0,"LIB039",0,0,1,0,0,0,0,0,0,0,0,1
2,0,"LIB040",0,0,1,1,0,0,0,0,0,1,0,1
2,0,"LIB044",0,0,0,0,0,1,0,0,0,3,4,1
